bit16,bit24,bit16_hex,bit24_hex
0011110001011100,100000000000000011010001,3C5C,8000D1
0011110001011100,100000000000000011010110,3C5C,8000D6
0011110001011100,100000000000000011011001,3C5C,8000D9
0011110001011100,100000000000000011011011,3C5C,8000DB
0011110001011100,100000000000000011011110,3C5C,8000DE
0011110001011100,100000000000000011100000,3C5C,8000E0
0011110001011100,100000000000000011100011,3C5C,8000E3
0011110001011100,100000000000000011100101,3C5C,8000E5
0011110001011100,100000000000000011101000,3C5C,8000E8
0011110001011100,100000000000000011101010,3C5C,8000EA
0011110001011100,100000000000000011101101,3C5C,8000ED
0011110001011100,100000000000000011101111,3C5C,8000EF
0011110001011100,100000000000000011110010,3C5C,8000F2
0011110001011100,100000000000000011110100,3C5C,8000F4
0011110001011100,100000000000000011110111,3C5C,8000F7
0011110001011100,100000000000000011111001,3C5C,8000F9
0011110001011100,100000000000000011111100,3C5C,8000FC
0011110001011100,100000000000000011111110,3C5C,8000FE
0011110001011100,100000000000000100000001,3C5C,800101
0011110001011100,100000000000000100000011,3C5C,800103
0011110001011100,100000000000000100000110,3C5C,800106
0011110001011100,100000000000000100001000,3C5C,800108
0011110001011100,100000000000000100001011,3C5C,80010B
0011110001011100,100000000000000100001101,3C5C,80010D
0011110001011100,100000000000000100010000,3C5C,800110
0011110001011100,100000000000000100010010,3C5C,800112
0011110001011100,100000000000000100010101,3C5C,800115
0011110001011100,100000000000000100010111,3C5C,800117
0011110001011100,100000000000000100011010,3C5C,80011A
0011110001011100,100000000000000100011100,3C5C,80011C
0011110001011100,100000000000000100011111,3C5C,80011F
0011110001011100,100000000000000100100001,3C5C,800121
0011110001011100,100000000000000100100100,3C5C,800124
0011110001011100,100000000000000100100110,3C5C,800126
0011110001011100,100000000000000100101001,3C5C,800129
0011110001011100,100000000000000100101011,3C5C,80012B
0011110001011100,100000000000000100101110,3C5C,80012E
0011110001011100,100000000000000100110000,3C5C,800130
0011110001011100,100000000000000100110011,3C5C,800133
0011110001011100,100000000000000100110101,3C5C,800135
0011110001011100,100000000000000100111000,3C5C,800138
0011110001011100,100000000000000100111010,3C5C,80013A
0011110001011100,100000000000000100111101,3C5C,80013D
0011110001011100,100000000000000100111111,3C5C,80013F
0011110001011100,100000000000000101000010,3C5C,800142
0011110001011100,100000000000000101000100,3C5C,800144
0011110001011100,100000000000000101000111,3C5C,800147
0011110001011100,100000000000000101001001,3C5C,800149
